Date,Open,High,Low,Close,Adj Close,Volume
2017-06-16,336.000000,346.000000,328.000000,338.000000,338.000000,480537400
2017-06-19,342.000000,362.000000,338.000000,356.000000,356.000000,652163600
2017-06-20,360.000000,364.000000,356.000000,356.000000,356.000000,340340400
2017-06-21,356.000000,358.000000,346.000000,352.000000,352.000000,190819700
2017-06-22,348.000000,356.000000,336.000000,340.000000,340.000000,234361000
2017-06-23,340.000000,340.000000,340.000000,340.000000,340.000000,0
2017-06-26,340.000000,340.000000,340.000000,340.000000,340.000000,0
2017-06-27,340.000000,340.000000,340.000000,340.000000,340.000000,0
2017-06-28,340.000000,340.000000,340.000000,340.000000,340.000000,0
2017-06-29,340.000000,340.000000,340.000000,340.000000,340.000000,0
2017-06-30,340.000000,340.000000,340.000000,340.000000,340.000000,0
2017-07-03,360.000000,394.000000,360.000000,374.000000,374.000000,692977900
2017-07-04,378.000000,380.000000,356.000000,360.000000,360.000000,392925200
2017-07-05,362.000000,364.000000,344.000000,344.000000,344.000000,376202400
2017-07-06,346.000000,352.000000,340.000000,342.000000,342.000000,452544700
2017-07-07,344.000000,346.000000,328.000000,332.000000,332.000000,370934100
2017-07-10,340.000000,340.000000,322.000000,328.000000,328.000000,153485700
2017-07-11,328.000000,336.000000,320.000000,324.000000,324.000000,190702100
2017-07-12,326.000000,332.000000,324.000000,332.000000,332.000000,147953800
2017-07-13,336.000000,336.000000,328.000000,328.000000,328.000000,107949700
2017-07-14,330.000000,346.000000,328.000000,346.000000,346.000000,236236300
2017-07-17,350.000000,354.000000,334.000000,350.000000,350.000000,384016200
2017-07-18,350.000000,352.000000,342.000000,344.000000,344.000000,189522100
2017-07-19,348.000000,358.000000,346.000000,350.000000,350.000000,341492600
2017-07-20,350.000000,356.000000,344.000000,344.000000,344.000000,221387800
2017-07-21,346.000000,348.000000,334.000000,334.000000,334.000000,163228500
2017-07-24,336.000000,336.000000,330.000000,332.000000,332.000000,96372600
2017-07-25,332.000000,340.000000,330.000000,332.000000,332.000000,133683200
2017-07-26,334.000000,338.000000,326.000000,328.000000,328.000000,115154900
2017-07-27,326.000000,334.000000,322.000000,328.000000,328.000000,122207200
2017-07-28,332.000000,360.000000,332.000000,358.000000,358.000000,620423200
2017-07-31,360.000000,362.000000,342.000000,342.000000,342.000000,320322700
2017-08-01,350.000000,354.000000,338.000000,340.000000,340.000000,258064500
2017-08-02,338.000000,346.000000,336.000000,338.000000,338.000000,164324100
2017-08-03,342.000000,344.000000,332.000000,334.000000,334.000000,107018100
2017-08-04,334.000000,340.000000,328.000000,330.000000,330.000000,201458900
2017-08-07,330.000000,334.000000,322.000000,324.000000,324.000000,223815700
2017-08-08,326.000000,328.000000,300.000000,306.000000,306.000000,644036000
2017-08-09,308.000000,308.000000,286.000000,296.000000,296.000000,628935000
2017-08-10,296.000000,302.000000,280.000000,282.000000,282.000000,525483900
2017-08-11,280.000000,288.000000,270.000000,276.000000,276.000000,423930100
2017-08-14,280.000000,286.000000,276.000000,280.000000,280.000000,245859500
2017-08-15,282.000000,296.000000,280.000000,294.000000,294.000000,360328800
2017-08-16,296.000000,302.000000,290.000000,292.000000,292.000000,287693500
